resortId,day,skierId,liftId,time
0,1,19566,16,356
0,1,19567,22,356
0,1,19579,7,356
0,1,19588,10,356
0,1,19603,6,356
0,1,19638,37,356
0,1,19640,15,356
0,1,19649,14,356
0,1,19651,26,356
0,1,19662,37,356
0,1,19689,40,356
0,1,19691,22,356
0,1,19703,33,356
0,1,19711,39,356
0,1,19728,1,356
0,1,19747,16,356
0,1,19759,9,356
0,1,19761,4,356
0,1,19774,34,356
0,1,19784,27,356
0,1,19809,25,356
0,1,19816,1,356
0,1,19834,30,356
0,1,19844,36,356
0,1,19867,36,356
0,1,19869,20,356
0,1,19908,13,356
0,1,19929,38,356
0,1,19958,14,356
0,1,19962,35,356
0,1,19972,30,356
0,1,19988,30,356
0,1,19994,9,356
0,1,19996,20,356
0,1,20045,25,356
0,1,20047,4,356
0,1,20055,23,356
0,1,20057,34,356
0,1,20064,5,356
0,1,20095,30,356
0,1,20113,35,356
0,1,20114,12,356
0,1,20119,40,356
0,1,20121,39,356
0,1,20128,20,356
0,1,20153,31,356
0,1,20158,22,356
0,1,20162,40,356
0,1,20167,1,356
0,1,20170,1,356
0,1,20176,32,356
0,1,20198,31,356
0,1,20200,39,356
0,1,20281,14,356
0,1,20292,34,356
0,1,20304,17,356
0,1,20322,37,356
0,1,20336,8,356
0,1,20373,4,356
0,1,20392,37,356
0,1,20393,39,356
0,1,20414,6,356
0,1,20420,5,356
0,1,20422,14,356
0,1,20425,14,356
0,1,20428,8,356
0,1,20432,27,356
0,1,20451,31,356
0,1,20487,15,356
0,1,20528,19,356
0,1,20547,31,356
0,1,20635,36,356
0,1,20654,21,356
0,1,20684,26,356
0,1,20685,36,356
0,1,20690,16,356
0,1,20694,26,356
0,1,20715,18,356
0,1,20731,10,356
0,1,20754,39,356
0,1,20757,39,356
0,1,20772,38,356
0,1,20791,29,356
0,1,20807,13,356
0,1,20815,31,356
0,1,20819,21,356
0,1,20821,4,356
0,1,20862,7,356
0,1,20869,29,356
0,1,20870,23,356
0,1,20875,13,356
0,1,20887,38,356
0,1,20903,13,356
0,1,20918,25,356
0,1,20930,25,356
0,1,20969,2,356
0,1,20995,26,356
0,1,21013,13,356
0,1,21014,19,356
0,1,21045,34,356
0,1,21104,33,356
0,1,21178,19,356
0,1,21179,34,356
0,1,21181,6,356
0,1,21206,8,356
0,1,21212,34,356
0,1,21237,33,356
0,1,21249,29,356
0,1,21256,23,356
0,1,21295,10,356
0,1,21311,38,356
0,1,21338,10,356
0,1,21383,18,356
0,1,21385,31,356
0,1,21396,15,356
0,1,21436,1,356
0,1,21497,13,356
0,1,21523,27,356
0,1,21526,25,356
0,1,21558,9,356
0,1,21561,24,356
0,1,21566,21,356
0,1,21580,22,356
0,1,21600,15,356
0,1,21609,26,356
0,1,21616,10,356
0,1,21620,13,356
0,1,21676,16,356
0,1,21681,16,356
0,1,21710,31,356
0,1,21720,39,356
0,1,21723,7,356
0,1,21726,3,356
0,1,21733,3,356
0,1,21761,21,356
0,1,21768,17,356
0,1,21770,33,356
0,1,21795,3,356
0,1,21796,21,356
0,1,21805,2,356
0,1,21812,2,356
0,1,21813,40,356
0,1,21830,17,356
0,1,21850,31,356
0,1,21876,40,356
0,1,21897,22,356
0,1,21900,13,356
0,1,21903,8,356
0,1,21936,28,356
0,1,21957,23,356
0,1,21959,23,356
0,1,21977,1,356
0,1,21986,9,356
0,1,21998,31,356
0,1,22058,12,356
0,1,22075,2,356
0,1,22085,3,356
0,1,22135,13,356
0,1,22142,23,356
0,1,22149,7,356
0,1,22220,31,356
0,1,22230,11,356
0,1,22247,6,356
0,1,22263,14,356
0,1,22271,13,356
0,1,22313,27,356
0,1,22323,35,356
0,1,22351,28,356
0,1,22379,38,356
0,1,22387,15,356
0,1,22404,2,356
0,1,22405,37,356
0,1,22439,26,356
0,1,22478,36,356
0,1,22532,1,356
0,1,22537,7,356
0,1,22544,39,356
0,1,22559,14,356
0,1,22562,17,356
0,1,22565,21,356
0,1,22568,37,356
0,1,22574,8,356
0,1,22579,2,356
0,1,22601,25,356
0,1,22608,13,356
0,1,22610,21,356
0,1,22628,19,356
0,1,22629,31,356
0,1,22638,13,356
0,1,22651,19,356
0,1,22658,19,356
0,1,22664,3,356
0,1,22681,8,356
0,1,22708,38,356
0,1,22709,31,356
0,1,22741,27,356
0,1,22763,32,356
0,1,22776,34,356
0,1,22790,36,356
0,1,22793,7,356
0,1,22823,24,356
0,1,22853,22,356
0,1,22860,21,356
0,1,22886,3,356
0,1,22892,1,356
0,1,22943,36,356
0,1,22977,15,356
0,1,23009,11,356
0,1,23014,13,356
0,1,23062,33,356
0,1,23089,25,356
0,1,23091,17,356
0,1,23136,30,356
0,1,23159,13,356
0,1,23175,7,356
0,1,23243,27,356
0,1,23273,17,356
0,1,23298,25,356
0,1,23299,11,356
0,1,23302,20,356
0,1,23306,28,356
0,1,23308,20,356
0,1,23312,35,356
0,1,23317,24,356
0,1,23327,15,356
0,1,23339,10,356
0,1,23357,31,356
0,1,23359,13,356
0,1,23365,17,356
0,1,23383,34,356
0,1,23393,19,356
0,1,23421,3,356
0,1,23442,31,356
0,1,23449,2,356
0,1,23484,22,356
0,1,23491,39,356
0,1,23494,38,356
0,1,23496,2,356
0,1,23508,28,356
0,1,23543,39,356
0,1,23591,35,356
0,1,23593,40,356
0,1,23625,28,356
0,1,23628,17,356
0,1,23638,28,356
0,1,23641,9,356
0,1,23652,10,356
0,1,23693,3,356
0,1,23696,7,356
0,1,23712,7,356
0,1,23732,38,356
0,1,23733,12,356
0,1,23738,25,356
0,1,23747,25,356
0,1,23763,9,356
0,1,23809,5,356
0,1,23810,31,356
0,1,23829,34,356
0,1,23837,34,356
0,1,23872,38,356
0,1,23900,40,356
0,1,23912,1,356
0,1,23928,22,356
0,1,23957,5,356
0,1,23959,31,356
0,1,23988,17,356
0,1,24005,37,356
0,1,24029,40,356
0,1,24031,12,356
0,1,24063,40,356
0,1,24064,40,356
0,1,24068,29,356
0,1,24082,5,356
0,1,24100,15,356
0,1,24109,10,356
0,1,24118,8,356
0,1,24165,36,356
0,1,24172,40,356
0,1,24180,5,356
0,1,24191,9,356
0,1,24195,11,356
0,1,24226,33,356
0,1,24236,38,356
0,1,24262,7,356
0,1,24266,40,356
0,1,24286,29,356
0,1,24302,10,356
0,1,24319,17,356
0,1,24347,4,356
0,1,24356,18,356
0,1,24366,19,356
0,1,24396,1,356
0,1,24398,29,356
0,1,24447,6,356
0,1,24460,29,356
0,1,24480,20,356
0,1,24487,39,356
0,1,24508,8,356
0,1,24538,28,356
0,1,24588,39,356
0,1,24607,32,356
0,1,24609,10,356
0,1,24644,37,356
0,1,24646,2,356
0,1,24654,12,356
0,1,24658,38,356
0,1,24685,18,356
0,1,24695,34,356
0,1,24722,15,356
0,1,24773,2,356
0,1,24779,2,356
0,1,24780,23,356
0,1,24807,38,356
0,1,24828,37,356
0,1,24857,15,356
0,1,24877,26,356
0,1,24882,40,356
0,1,24918,27,356
0,1,24933,22,356
0,1,24971,10,356
0,1,24983,13,356
0,1,24984,34,356
0,1,24986,16,356
0,1,24988,2,356
0,1,24996,21,356
0,1,24999,10,356
0,1,25003,38,356
0,1,25013,34,356
0,1,25023,14,356
0,1,25034,38,356
0,1,25123,40,356
0,1,25136,17,356
0,1,25196,26,356
0,1,25202,23,356
0,1,25215,3,356
0,1,25219,7,356
0,1,25228,27,356
0,1,25241,14,356
0,1,25294,11,356
0,1,25299,34,356
0,1,25306,11,356
0,1,25308,18,356
0,1,25367,4,356
0,1,25377,38,356
0,1,25395,11,356
0,1,25402,22,356
0,1,25409,17,356
0,1,25430,7,356
0,1,25441,12,356
0,1,25448,12,356
0,1,25494,36,356
0,1,25499,35,356
0,1,25504,4,356
0,1,25529,2,356
0,1,25530,1,356
0,1,25533,30,356
0,1,25540,3,356
0,1,25567,25,356
0,1,25599,29,356
0,1,25615,9,356
0,1,25617,14,356
0,1,25638,34,356
0,1,25639,7,356
0,1,25667,12,356
0,1,25681,30,356
0,1,25705,39,356
0,1,25711,28,356
0,1,25714,15,356
0,1,25725,18,356
0,1,25728,30,356
0,1,25740,26,356
0,1,25758,38,356
0,1,25799,17,356
